<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MDMG;60;16/08/24;130000;833.1;835.3;831;831;15189
MDMG;60;16/08/24;140000;831.2;832.6;827.6;828.6;29809
MDMG;60;16/08/24;150000;829.1;831.2;828.4;829.1;13915
MDMG;60;16/08/24;160000;829.4;831.2;825.8;826.9;22132
MDMG;60;16/08/24;170000;827.1;829.3;826.9;828.7;17981
MDMG;60;16/08/24;180000;829;829.2;827;827.1;15915
MDMG;60;16/08/24;190000;827.3;829.2;825;825.2;13588
MDMG;60;19/08/24;110000;826.9;831;821.6;825.5;13727
MDMG;60;19/08/24;120000;825.5;829.3;824.7;827.5;9675
MDMG;60;19/08/24;130000;827.9;828;823.1;826.6;16115
MDMG;60;19/08/24;140000;826.4;826.6;822;824;22811
MDMG;60;19/08/24;150000;823.9;825.8;817.2;820.4;17827
MDMG;60;19/08/24;160000;820.5;821.2;811.4;816;28258
MDMG;60;19/08/24;170000;816;825.5;815.6;821.8;17171
MDMG;60;19/08/24;180000;821.6;824.6;814;824.4;16717
MDMG;60;19/08/24;190000;824.3;830;822.2;827;9412
MDMG;60;20/08/24;110000;825.3;829.9;814.5;818.5;24140
MDMG;60;20/08/24;120000;818.6;819;810.1;816.3;24398
MDMG;60;20/08/24;130000;816.3;819.9;812.9;818.5;12658
MDMG;60;20/08/24;140000;818.6;821.3;818.5;821.3;7642
MDMG;60;20/08/24;150000;821.3;825.8;821;821.5;7206
