<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RUAL;D;10/12/24;000000;33.135;33.46;32.51;33.115;13768900
RUAL;D;11/12/24;000000;33.025;33.105;32.13;32.19;16721890
RUAL;D;12/12/24;000000;32.18;32.46;31.535;32.22;15600610
RUAL;D;13/12/24;000000;32.095;32.29;30.92;31.07;20796990
RUAL;D;14/12/24;000000;31.075;31.29;30.35;30.685;15104250
RUAL;D;17/12/24;000000;30.3;30.48;29.255;29.63;24460470
RUAL;D;18/12/24;000000;29.56;29.82;28.785;28.85;19564740
RUAL;D;19/12/24;000000;28.85;29.04;28.03;28.7;26693890
